City,Cloudiness,Countries,Temp,Humidity,Wind Speed,Lat,Lng
Ahipara,8,NZ,60.33,75,8.95,-35.17,173.17
Kaitangata,0,NZ,46.2,71,5.35,-46.28,169.85
Nishihara,90,JP,80.6,88,9.17,26.18,127.76
Hermanus,0,ZA,57.72,70,5.79,-34.42,19.23
Caracolí,10,CO,83.19,65,2.04,6.41,-74.76
Fairbanks,40,US,57.0,30,13.87,64.84,-147.72
Berlevåg,100,NO,33.53,94,9.91,70.86,29.09
Atuona,6,PF,81.0,79,16.53,-9.8,-139.03
Iqaluit,40,CA,32.0,95,5.82,63.75,-68.51
Bethel,1,US,73.0,37,4.7,41.37,-73.41
